team_name,home_stadium,location,lat,long,mascot,live_mascots,conference,division,superbowl_wins,year_est,id
Buffalo Bills,Highmark Stadium,"Ochard Park, New York",42.773773,-78.78746,Buffalo Billy,,AFC,East,0,1959,36
Miami Dolphins,Hard Rock Stadium,"Miami Gardens, Florida",25.95796,-80.239311,T.D.,,AFC,East,2,1965,12
New England Patriots,Gillete Stadium,"Foxborough, Massachusetts",42.08783298,-71.25866563,Pat Patriot,,AFC,East,6,1959,25
New York Jets,MetLife Stadium,"East Rutherford, New Jersey",40.813778,-74.217121,N/A,,AFC,East,1,1959,34
Denver Broncos,Empower Field at Mile High,"Denver, Colorado",39.744129,-105.020828,Miles,Thunder (Horse),AFC,West,3,1959,08
Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959,29
Las Vegas Raiders,Allegiant Stadium,"Paradise, Nevada",36.090794,-115.183952,Raider Rush,,AFC,West,3,1960,32
Los Angeles Chargers,SoFi Stadium,"Inglewood, California",33.953587,-118.482441,N/A,,AFC,West,0,1959,06
Baltimore Ravens,M&T Bank Stadium,"Baltimore, Maryland",39.278088,-76.623322,Poe,Rise and Conquer (Ravens),AFC,North,2,1996,24
Cincinnati Bengals,Paycor Stadium,"Cincinnati, Ohio",39.096306,-84.516846,Who Dey,,AFC,North,0,1967,39
Cleveland Browns,Cleveland Browns Stadium,"Cleveland, Ohio",41.506035,-81.700058,Chomps,Swagger Jr. (Bulldog),AFC,North,0,1944,39
Pittsburgh Steelers,Acrisure Stadium,"Pittsburgh, Pennsylvania",40.44133157,-80.00949996,Steely McBeam,,AFC,North,6,1933,42
Houston Texans,NRG Stadium,"Houston, Texas",29.68486,-95.411667,Toro,,AFC,South,0,1999,48
Indianapolis Colts,Lucas Oil Stadium,"Indianapolis, Indiana",39.759991,-86.163712,Blue,,AFC,South,2,1953,18
Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993,12
Tennessee Titans,Nissan Stadium,"Nashville, Tennessee",36.166479,-86.77129,T-Rac,,AFC,South,0,1959,47
Dallas Cowboys,AT&T Stadium,"Arlington, Texas",32.747841,-97.093628,Rowdy,,NFC,East,5,1960,48
New York Giants,MetLife Stadium,"East Rutherford, New Jersey",40.813778,-74.07431,N/A,,NFC,East,4,1925,34
Philadelphia Eagles,Lincoln Financial Field,"Philadelphia, Pennsylvania",39.900898,-75.168098,Swoop,,NFC,East,1,1933,42
Washington Commanders,FedExField,"Landover, Maryland",38.90466305,-76.85866323,Major Tuddy,,NFC,East,3,1932,24
Arizona Cardinals,State Farm Stadium,"Glendale, Arizona",33.527283,-112.263275,Big Red,,NFC,West,0,1898,04
Los Angeles Rams,SoFi Stadium,"Inglewood, California",33.953587,-118.33963,Rampage,,NFC,West,2,1937,06
San Francisco 49ers,Levi's Stadium,"Santa Clara, California",37.40201489,-121.9688691,Sourdough Sam,,NFC,West,5,1944,06
Seattle Seahawks,Lumen Field,"Seattle, Washington",47.59049764,-122.3256654,Blitz,Taima (Hawk),NFC,West,1,1974,53
Chicago Bears,Soldier Field,"Chicago, Illinois",41.862366,-87.617256,Staley Da Bear,,NFC,North,1,1920,17
Detroit Lions,Ford Field,"Detroit, Michigan",42.340115,-83.046341,Roary the Lion,,NFC,North,0,1930,26
Green Bay Packers,Lambeau Field,"Green Bay, Wisconsin",44.50083133,-88.0573331,N/A,,NFC,North,4,1919,55
Minnesota Vikings,U.S. Bank Stadium,"Minneapolis, Minnesota",44.973774,-93.258736,Viktor the Viking,,NFC,North,0,1960,27
Atlanta Falcons,Mercedes-Benz Stadium,"Atlanta, Georgia",33.755489,-84.401993,Freddie Falcon,,NFC,South,0,1965,13
Carolina Panthers,Bank of America Stadium,"Charlotte, North Carolina",35.225845,-80.853607,Sir Purr,,NFC,South,0,1993,37
New Orleans Saints,Caesars Superdome,"New Orleans, Louisiana",29.951439,-90.08197,Gumbo,,NFC,South,1,1966,22
Tampa Bay Buccaneers,Raymond James Stadium,"Tampa, Florida",27.975958,-82.503693,Captain Fear,,NFC,South,2,1974,12
