RK,TEAM,Home GMS,Home TOTAL,Home AVG,Road GMS,Road TOTAL,Road AVG,Overall GMS,Overall TOTAL,Overall AVG
1,Dallas,8,748755,93594,9,629988,69998,17,1378743,81102
2,NY Giants,8,634459,79307,9,627893,69765,17,1262352,74256
3,NY Jets,9,701013,77890,8,584943,73117,17,1285965,75644
4,Green Bay,8,622636,77829,9,619767,68863,17,1242403,73082
5,Denver,9,687498,76388,8,539487,67435,17,1226985,72175
6,Los Angeles,8,585204,73150,9,649845,72205,17,1235049,72649
7,San Francisco,9,873245,71655,8,613070,68113,17,1186315,69873
8,Carolina,8,573086,71635,9,590822,65646,17,1163908,68465
9,Houston,9,640742,71193,8,544194,68024,17,1184936,69702
10,Kansas City,9,638715,70968,8,566832,70854,17,1205547,70914
11,Baltimore,9,635380,70597,8,535354,66919,17,1170734,68864
12,New Orleans,8,560164,70020,9,628415,69823,17,1188579,69916
13,Philadelphia,8,559029,69878,9,664714,73857,17,1223743,71984
14,Los Angeles,9,627632,69736,8,563307,70143,17,1199200,70505
15,Buffalo,9,626483,69609,8,556717,69589,17,1183200,69600
16,Atlanta,8,556088,69603,9,610588,67883,17,1166676,69200
17,Jacksonville,9,621281,69003,8,529306,66163,17,1150833,67681
18,Seattle,8,549886,68735,9,643344,71482,17,1193230,70190
19,Cleveland,9,610295,67810,7,492651,70238,16,1102946,68934
20,Pittsburgh,9,602796,66977,8,543681,67960,17,1146477,67439
21,Minnesota,8,535308,66913,9,621799,69088,17,1157107,68103
22,Cincinnati,9,594361,66040,8,550335,68791,17,1144969,67335
23,Miami,9,593304,65922,8,543279,67909,17,1136583,66857
24,Indianapolis,8,521841,65230,8,526336,65792,16,1048177,65511
25,Detroit,8,518801,64850,9,651508,72389,17,1171309,68841
26,Tennessee,9,580686,64520,8,536684,67085,17,1117370,65727
27,Washington,8,511606,63950,9,664144,73793,17,1175750,69161
28,Tampa Bay,8,510054,63756,9,629740,69971,17,1139794,67046
29,New England,9,567168,63018,8,597978,74747,17,1165146,68538
30,Arizona,8,502912,62864,9,610656,67850,17,1113568,65504
31,Las Vegas,9,559713,62190,8,551328,68916,17,1111041,65355
32,Chicago,8,494157,61769,9,617334,68592,17,1111491,65348
