Year,NFL Revenue (Billion USD),NBA Revenue (Billion USD),MLB Revenue (Billion USD),NHL Revenue (Billion USD)
2004,6.0,2.9,4.3,2.1
2005,6.2,3.2,4.7,2.2
2006,6.5,3.4,5.1,2.3
2007,7.1,3.6,5.5,2.4
2008,7.6,3.8,5.8,2.6
2009,8.0,3.8,6.0,2.6
2010,8.5,3.8,6.1,2.9
2011,9.0,3.8,6.4,3.0
2012,9.5,4.1,6.8,3.2
2013,10.0,4.6,7.1,3.4
2014,11.0,4.8,7.9,3.7
2015,12.0,5.2,8.4,3.9
2016,13.0,5.9,9.0,4.1
2017,14.0,7.4,9.5,4.4
2018,14.5,8.0,10.3,4.6
2019,15.3,8.8,10.7,5.1
2020,12.2,8.3,3.7,4.4
2021,17.1,10.0,10.0,4.8
2022,18.6,10.6,10.8,5.2
2023,20.2,11.3,11.34,5.4
